step,train,valid,trainavg,validavg
230,59.399998188,28.7500023842,57.7999985218,29.9166679382
231,58.5999965668,30.8333337307,58.3599996567,29.6666681767
232,57.5999975204,30.8333337307,58.9599990845,29.4166684151
233,58.0000042915,28.3333361149,58.0799996853,29.4166684151
234,61.1999988556,28.3333361149,58.0000007153,29.8333346844
235,55.0000011921,28.7500023842,58.0400013924,30.1666676998
236,58.2000017166,32.9166650772,57.7200007439,30.5833339691
237,57.800000906,32.4999988079,57.4000000954,31.25
238,56.400001049,30.4166674614,57.7199995518,31.25
239,59.5999956131,31.6666662693,57.7999985218,30.7500004768
240,56.5999984741,28.7500023842,58.1199979782,29.5833337307
241,58.5999965668,30.4166674614,55.799998045,30.1666665077
242,59.399998188,26.6666650772,54.9999988079,30
243,44.8000013828,33.3333313465,55.2399992943,29.4166660309
244,55.5999994278,30.8333337307,55.1999998093,28.8333320618
245,57.800000906,25.8333325386,54.279999733,29.0833318233
246,58.3999991417,27.4999976158,56.2399995327,27.9166650772
247,54.7999978065,27.9166638851,56.5199995041,27.6666653156
248,54.6000003815,27.4999976158,56.3999998569,28.4166657925
249,56.9999992847,29.5833349228,56.1600005627,28.6666667461
250,57.2000026703,29.5833349228,56.8000018597,28.9166676998
251,57.2000026703,28.7500023842,57.4400019646,29.8333346844
252,58.0000042915,29.1666686535,57.2000014782,30.5000007153
253,57.800000906,32.0833325386,57.7200007439,30.666667223
254,55.7999968529,32.9166650772,57.9600000381,32.0833337307
255,59.7999989986,30.4166674614,58.8799989223,32.9166662693
256,58.3999991417,35.8333349228,59.319999218,33.2499992847
257,62.5999987125,33.3333313465,60.5999994278,33.4166657925
258,60.0000023842,33.7499976158,59.1199994087,33.3333325386
259,62.1999979019,33.7499976158,59.359998703,32.8333318233
260,52.3999989033,30.0000011921,57.159999609,32.0833325386
261,59.5999956131,33.3333313465,56.6399991512,31.4999997616
262,51.6000032425,29.5833349228,56.3600003719,31.1666667461
263,57.4000000954,30.8333337307,57.9600000381,31.4999997616
264,60.8000040054,32.0833325386,57.800000906,31.5833330154
265,60.3999972343,31.6666662693,59.3599998951,31.5833330154
266,58.7999999523,33.7499976158,59.5200002193,31.3333332539
267,59.399998188,29.5833349228,59.5599997044,31.4166665077
268,58.2000017166,29.5833349228,59.1600000858,31.7499995232
269,61.0000014305,32.4999988079,59.6399998665,30.7500004768
270,58.3999991417,33.3333313465,60,31.4166665077
271,61.1999988556,28.7500023842,60.2399992943,31.9166660309
272,61.1999988556,32.9166650772,59.9999988079,32.0833325386
273,59.399998188,32.0833325386,60.1199996471,31.1666667461
274,59.7999989986,33.3333313465,59.3999993801,31.833332777
275,59.0000033379,28.7500023842,59.2399990559,31.0000002384
276,57.5999975204,32.0833325386,58.5599994659,30.5000007153
277,60.3999972343,28.7500023842,59.2399990559,30.083334446
278,56.0000002384,29.5833349228,58.9999985695,30.3333342075
279,63.1999969482,31.25,59.279999733,30.5000007153
280,57.800000906,30.0000011921,59.7200000286,30.9166669846
281,59.0000033379,32.9166650772,60.720000267,31.0000002384
282,62.5999987125,30.8333337307,60.720000267,31.1666667461
283,61.0000014305,30.0000011921,61.1600005627,31.25
284,63.1999969482,32.0833325386,59.6800005436,30.3333342075
285,60.0000023842,30.4166674614,58.0800008774,29.6666669846
286,51.6000032425,28.3333361149,57.3200011253,29.6666669846
287,54.6000003815,27.4999976158,56.0000014305,29.2500007153
288,57.2000026703,30.0000011921,56.1200010777,29.0833342075
289,56.5999984741,30.0000011921,57.5199997425,29.3333339691
290,60.6000006199,29.5833349228,58.3599996567,30.1666676998
291,58.5999965668,29.5833349228,59.5199990273,30.5833339691
292,58.7999999523,31.6666662693,60.039999485,30.0833332539
293,62.9999995232,32.0833325386,59.5999991894,29.9166667461
294,59.2000007629,27.4999976158,60,30
295,58.3999991417,28.7500023842,60,29.1666662693
296,60.6000006199,30.0000011921,59.1600000858,28.8333332539
297,58.7999999523,27.4999976158,59.5599997044,29.6666669846
298,58.7999999523,30.4166674614,59.8800003529,30.0833332539
299,61.1999988556,31.6666662693,59.6799993515,29.8333334923
300,60.0000023842,30.8333337307,60.75999856,30.5833339691
301,59.5999956131,28.7500023842,61.6799986362,31.0833334923
302,64.1999959946,31.25,61.5599989891,31.4166665077
303,63.4000003338,32.9166650772,62.2799992561,32.1666669846
304,60.6000006199,33.3333313465,63.1200003624,33.1666660309
305,63.6000037193,34.5833361149,62.0800018311,33.7499988079
306,63.8000011444,33.7499976158,62.2000014782,33.5833323002
307,59.0000033379,34.1666638851,62.6400017738,32.8333330154
308,63.9999985695,32.0833325386,61.7200016975,32.2499990463
309,62.8000020981,29.5833349228,61.2000012398,31.6666662693
310,59.0000033379,31.6666662693,61.3600003719,31.6666662693
311,61.1999988556,30.8333337307,61.0800004005,31.7499995232
312,59.7999989986,34.1666638851,59.6799993515,32.0833325386
313,62.5999987125,32.4999988079,59.5999979973,32.416665554
314,55.7999968529,31.25,59.6799981594,33.0833315849
315,58.5999965668,33.3333313465,60.6399989128,32.6666653156
316,61.5999996662,34.1666638851,61.0399997234,32.7499985695
317,64.6000027657,32.0833325386,61.4400005341,33.1666648388
318,64.6000027657,32.9166650772,61.1200010777,32.9999983311
319,57.800000906,33.3333313465,60.4400014877,32.0833325386
320,56.9999992847,32.4999988079,59.3600010872,31.7499995232
321,58.2000017166,29.5833349228,58.8800001144,31.833332777
322,59.2000007629,30.4166674614,59.0799999237,32.2500002384
323,62.1999979019,33.3333313465,60.4799997807,32.1666669846
324,58.7999999523,35.4166686535,61.9599997997,33.4166669846
325,63.9999985695,32.0833325386,62.3199999332,33.5833334923
326,65.600001812,35.8333349228,62.2800004482,33.0833339691
327,61.0000014305,31.25,63.6000013351,32.0833337307
328,62.0000004768,30.8333337307,62.8800010681,32.0833337307
329,65.4000043869,30.4166674614,62.9600000381,31.1666667461
